date,open,high,low,close,volume
2019-07-05,0.00599738,0.00614431,0.00474181,0.00516937,1928297660.0
2019-07-06,0.00517471,0.00526621,0.00449496,0.00467502,1010744287.0
2019-07-07,0.00468036,0.00487538,0.00454145,0.00472538,530613992.0
2019-07-08,0.00472551,0.00475757,0.00454145,0.00461892,308445688.0
2019-07-09,0.00462426,0.00478455,0.00448321,0.00461424,253375582.0
2019-07-10,0.00461839,0.00471429,0.00434243,0.00446411,241274866.0
2019-07-11,0.00445569,0.00446064,0.00412858,0.00428633,202811394.0
2019-07-12,0.00428833,0.00448775,0.0042158,0.00435739,228622573.0
2019-07-13,0.00435792,0.00436153,0.00418855,0.00434536,110731940.0
2019-07-14,0.00433762,0.00437956,0.00387466,0.00389696,216658454.0
2019-07-15,0.00389696,0.00418802,0.00374149,0.00410226,220027648.0
2019-07-16,0.00409051,0.00414193,0.00364959,0.00373921,159080438.0
2019-07-17,0.00373935,0.00398846,0.00361486,0.00384981,320691294.0
2019-07-18,0.00382857,0.00417426,0.0037129,0.00413793,263423204.0
2019-07-19,0.0041418,0.00414981,0.00390057,0.00403815,101195703.0
2019-07-20,0.00402466,0.00421126,0.00400716,0.00411228,106012025.0
2019-07-21,0.00410079,0.00417706,0.00399006,0.00406967,59882988.0
2019-07-22,0.00407835,0.00411615,0.0039003,0.00394932,92581872.0
2019-07-23,0.00394932,0.00394932,0.00376139,0.00376566,161810410.0
2019-07-24,0.00376606,0.00384941,0.00369046,0.00383899,68490381.0
2019-07-25,0.00381415,0.00393864,0.0038036,0.00382764,149944114.0
2019-07-26,0.00382764,0.003878,0.00376366,0.00384661,29517748.0
2019-07-27,0.00386023,0.00395373,0.00368004,0.00374629,86758314.0
2019-07-28,0.00373641,0.00375832,0.00364117,0.00373093,49225120.0
2019-07-29,0.00372452,0.00385222,0.00369153,0.003695,65013586.0
2019-07-30,0.003695,0.00384687,0.00366749,0.00372466,60008976.0
2019-07-31,0.0037332,0.00384166,0.00372519,0.00381789,58120004.0
2019-08-01,0.00381629,0.00408957,0.00377314,0.00387412,85256838.0
2019-08-02,0.00387412,0.00390992,0.00382149,0.00387305,64329108.0
2019-08-03,0.00386704,0.00393904,0.0038426,0.00387279,54942112.0
2019-08-04,0.00387345,0.00400516,0.00379665,0.00390324,88247046.0
2019-08-05,0.00389977,0.00427404,0.00389977,0.00406433,213937390.0
2019-08-06,0.00406633,0.00411936,0.00389015,0.00394799,128970146.0
2019-08-07,0.00394959,0.00406046,0.0038414,0.00398793,116634874.0
2019-08-08,0.00400342,0.00400342,0.00381268,0.00395841,72936578.0
2019-08-09,0.00397043,0.00397043,0.00379011,0.00389095,53069425.0
2019-08-10,0.00390177,0.00393129,0.00375137,0.0038068,40358430.0
2019-08-11,0.0038068,0.00387292,0.00377755,0.00385676,48121732.0
2019-08-12,0.0038593,0.00387345,0.00380079,0.00380894,37974663.0
2019-08-13,0.00381041,0.0038259,0.00371357,0.0037853,47685418.0
2019-08-14,0.00378583,0.00379331,0.00360644,0.00362795,89470204.0
2019-08-15,0.00363717,0.00369928,0.0034165,0.00346165,83406275.0
2019-08-16,0.00344789,0.00363049,0.00335426,0.00354099,71483283.0
2019-08-17,0.00353699,0.00355729,0.00344322,0.0035064,48842468.0
2019-08-18,0.0035068,0.00363503,0.00345551,0.00359977,101432503.0
2019-08-19,0.00359603,0.00375952,0.00356317,0.00371544,111202618.0
2019-08-20,0.00371157,0.00371998,0.00357946,0.00362247,29889824.0
2019-08-21,0.00362247,0.00362688,0.00342385,0.00352603,67428707.0
2019-08-22,0.00352684,0.00362848,0.00340969,0.00353405,70942538.0
2019-08-23,0.00353779,0.00359709,0.00349331,0.0035621,49673949.0
2019-08-24,0.00355889,0.00357773,0.00342572,0.00350252,61164375.0
2019-08-25,0.00350947,0.00356103,0.00344883,0.00350453,59937736.0
2019-08-26,0.00349852,0.00361286,0.00346366,0.0035275,75309430.0
2019-08-27,0.00352229,0.0035263,0.00344122,0.00347194,57813268.0
2019-08-28,0.00347474,0.00347474,0.00330885,0.00333462,73252773.0
2019-08-29,0.00333342,0.00333369,0.00312425,0.00323832,101148551.0
2019-08-30,0.00326196,0.00333115,0.00318957,0.0032657,37512207.0
2019-08-31,0.00327478,0.003323,0.00322149,0.00327625,36338319.0
2019-09-01,0.00327519,0.0033194,0.00322029,0.00328627,35956148.0
2019-09-02,0.00329055,0.00349518,0.00325608,0.00345711,53572010.0
2019-09-03,0.00346085,0.00348008,0.00338111,0.00341851,64679806.0
2019-09-04,0.00342572,0.00343427,0.0033393,0.00335226,32789886.0
2019-09-05,0.00336882,0.00336882,0.0032844,0.00332714,44318276.0
2019-09-06,0.00332554,0.00334651,0.00320573,0.00329923,81836503.0
2019-09-07,0.00327305,0.00334865,0.0032096,0.00327812,79415288.0
2019-09-08,0.00329255,0.00338017,0.00320573,0.00328387,89538969.0
2019-09-09,0.00326624,0.00329816,0.00320573,0.00325261,61000344.0
2019-09-10,0.00325261,0.00328747,0.00318556,0.00323044,33219768.0
2019-09-11,0.00323151,0.00325729,0.00315243,0.0031913,52887165.0
2019-09-12,0.00319397,0.00324714,0.00310755,0.00319611,48542765.0
2019-09-13,0.00319317,0.00322283,0.0031523,0.00320439,35317492.0
2019-09-14,0.00321762,0.00325515,0.00316579,0.00323137,33725888.0
2019-09-15,0.00323685,0.0033194,0.00319237,0.00324046,68647235.0
2019-09-16,0.00323899,0.00330791,0.00320279,0.003247,53894420.0
2019-09-17,0.00324794,0.00349959,0.00321909,0.00346486,135069011.0
2019-09-18,0.00346913,0.00375377,0.00340969,0.00360845,344364326.0
2019-09-19,0.00361018,0.00364945,0.00339273,0.00361753,161540615.0
2019-09-20,0.00361473,0.00361473,0.00349251,0.00353926,70347331.0
2019-09-21,0.00353926,0.00355555,0.00339139,0.00344242,76693753.0
2019-09-22,0.0034328,0.00347154,0.00336241,0.00342211,92043003.0
2019-09-23,0.0034324,0.00343534,0.00326904,0.00326904,76897524.0
2019-09-24,0.00326904,0.00330337,0.00258021,0.00292523,155910476.0
2019-09-25,0.00292429,0.00297077,0.00276027,0.00290613,110825983.0
2019-09-26,0.00289758,0.00298867,0.00269615,0.00285791,204393624.0
2019-09-27,0.0028515,0.00293725,0.00280301,0.00290158,88331166.0
2019-09-28,0.00290653,0.00298133,0.00285857,0.00293511,75661286.0
2019-09-29,0.00294299,0.00299188,0.0028364,0.00291908,79511131.0
2019-09-30,0.00294259,0.00330364,0.00284028,0.00317193,263988602.0
2019-10-01,0.00317781,0.00333943,0.00313534,0.00313934,151860063.0
2019-10-02,0.00314709,0.00316459,0.00304664,0.00310288,88034436.0
2019-10-03,0.00310288,0.00310555,0.00298573,0.00306908,81022529.0
2019-10-04,0.00306948,0.00310555,0.00299175,0.00305786,52314904.0
2019-10-05,0.00305639,0.00307897,0.0030206,0.00306174,53899895.0
2019-10-06,0.00307122,0.00307857,0.00297532,0.00302901,72718151.0
2019-10-07,0.00302661,0.00315951,0.00298774,0.00311356,69936960.0
2019-10-08,0.00311196,0.00315884,0.00304317,0.00308498,89953557.0
2019-10-09,0.00308498,0.00315924,0.00300096,0.00314188,128533706.0
2019-10-10,0.0031336,0.00314054,0.00306241,0.00307216,74485978.0
2019-10-11,0.00306815,0.00312705,0.00297198,0.00306,61631506.0
2019-10-12,0.00305613,0.00311356,0.0030389,0.00309834,70374904.0
2019-10-13,0.00309753,0.00351949,0.00308498,0.00324807,506106744.0
2019-10-14,0.0032474,0.00367323,0.00321468,0.00339473,1281613616.0
2019-10-15,0.00340368,0.00344616,0.00329282,0.00333449,142270876.0
2019-10-16,0.00333356,0.00350333,0.0033194,0.00349451,271043906.0
2019-10-17,0.0034885,0.00397243,0.00344322,0.00366054,673256287.0
2019-10-18,0.00365319,0.00382884,0.00351441,0.00360003,262101555.0
2019-10-19,0.00359896,0.0037332,0.00353525,0.00362995,103435078.0
2019-10-20,0.00363035,0.00368325,0.00352724,0.00362661,113305480.0
2019-10-21,0.003617,0.00394037,0.00344055,0.00359028,287285773.0
2019-10-22,0.00359095,0.00364611,0.00335065,0.00338084,948366683.0
2019-10-23,0.00339086,0.00342612,0.00280501,0.00330537,399964920.0
2019-10-24,0.00331325,0.00340609,0.00320573,0.00336374,176236372.0
2019-10-25,0.00336374,0.00371317,0.00329282,0.00356557,330206126.0
2019-10-26,0.00356557,0.00387092,0.00341637,0.00346285,327792551.0
2019-10-27,0.00348102,0.00394598,0.00341944,0.0035263,203666784.0
2019-10-28,0.0035263,0.00367323,0.00350413,0.00350827,179647401.0
2019-10-29,0.0035235,0.00360003,0.00349291,0.00350627,136659517.0
2019-10-30,0.00350627,0.00355956,0.00341731,0.00346432,202095484.0
2019-10-31,0.00345831,0.00352056,0.00340248,0.00345203,93293235.0
2019-11-01,0.00344763,0.00357305,0.00340902,0.00346379,48308176.0
2019-11-02,0.00347207,0.0034881,0.00340114,0.00344255,136199748.0
2019-11-03,0.00346833,0.00352216,0.00339634,0.00345431,94348909.0
2019-11-04,0.00344656,0.00347287,0.00339006,0.00343961,89131455.0
2019-11-05,0.00343961,0.00347888,0.00340622,0.00346312,89896615.0
2019-11-06,0.00345698,0.00348623,0.00340609,0.00346646,78525806.0
2019-11-07,0.00346512,0.00366642,0.003432,0.00360404,389579342.0
2019-11-08,0.00361179,0.00361927,0.00338605,0.00352376,140343464.0
2019-11-09,0.00353191,0.00365333,0.00348342,0.00362327,355378242.0
2019-11-10,0.00361686,0.00371985,0.00355929,0.00368191,305203814.0
2019-11-11,0.00369367,0.00369821,0.00353432,0.00361312,145629942.0
2019-11-12,0.00361205,0.00363904,0.00353378,0.00361686,116799812.0
2019-11-13,0.00361686,0.00361686,0.00351508,0.00358253,140516822.0
2019-11-14,0.00357318,0.00358801,0.00347167,0.00355569,99444648.0
2019-11-15,0.00355969,0.0036198,0.00344175,0.00355034,196496664.0
2019-11-16,0.00354019,0.00360644,0.00349478,0.00355382,184465713.0
2019-11-17,0.00354193,0.00355555,0.00345858,0.00350733,81768446.0
2019-11-18,0.00349411,0.00351281,0.00333957,0.00339206,72203979.0
2019-11-19,0.00338618,0.00339019,0.00332367,0.00336134,60867796.0
2019-11-20,0.00336682,0.00345951,0.00334798,0.00336935,51326120.0
2019-11-21,0.00336722,0.00337964,0.00307216,0.00321414,139844659.0
2019-11-22,0.00321361,0.00326263,0.00290292,0.00314215,165526781.0
2019-11-23,0.00314268,0.00320573,0.00302033,0.00320493,172491867.0
2019-11-24,0.0031913,0.0031913,0.00298173,0.00298266,116673800.0
2019-11-25,0.00298774,0.00309967,0.00277963,0.00301058,150700812.0
2019-11-26,0.0030019,0.00308925,0.00297425,0.00302714,46658505.0
2019-11-27,0.00302714,0.0031523,0.00292069,0.00309994,98287760.0
2019-11-28,0.00309259,0.0031523,0.0030206,0.00303476,98429449.0
2019-11-29,0.00303676,0.00317006,0.00303502,0.00315136,98438924.0
2019-11-30,0.00315136,0.00315323,0.00303355,0.0030612,59323424.0
2019-12-01,0.00306147,0.00307763,0.00298173,0.00302514,71868565.0
2019-12-02,0.00303315,0.00303315,0.00288355,0.0029645,163746405.0
2019-12-03,0.0029665,0.00298747,0.00287233,0.00290947,189360213.0
2019-12-04,0.00290265,0.00299869,0.00282144,0.00289611,259311714.0
2019-12-05,0.00290078,0.00296516,0.00285924,0.00290586,75250597.0
2019-12-06,0.00289918,0.00299415,0.00280515,0.0029311,132923213.0
2019-12-07,0.00292443,0.0030059,0.00288529,0.00291721,61735171.0
2019-12-08,0.00291641,0.00300524,0.0028718,0.00293471,56793315.0
2019-12-09,0.00293431,0.00296289,0.00288836,0.00289838,56493155.0
2019-12-10,0.00288983,0.00295862,0.00279206,0.00285417,116186991.0
2019-12-11,0.00285871,0.00290386,0.00281556,0.00285564,86454061.0
2019-12-12,0.0028738,0.00289691,0.00282718,0.00285096,55721062.0
2019-12-13,0.0028515,0.00297131,0.00281182,0.00284789,105233189.0
2019-12-14,0.00284161,0.00306321,0.00273555,0.00282198,97345597.0
